"","V1","match_id","year","slam","match_num","player1","player2","status","winner","event_name","round","court_name","court_id","player1id","player2id","nation1","nation2","player1_rank","player2_rank","pServeP1","pReceiveP1","pServeP2","pReceiveP2"
"1",0,"2011-ausopen-1101",2011,"ausopen",1101,"Rafael Nadal","Marcos Daniel","Retired",1,"Men's Singles","Round 1","Rod Laver Arena","A","atpn409","atpd339","ESP","BRA",1,96,NA,NA,NA,NA
"2",1,"2011-ausopen-1103",2011,"ausopen",1103,"Bernard Tomic","Jeremy Chardy","Complete",1,"Men's Singles","Round 1","Hisense Arena","B","atpta46","atpca12","AUS","FRA",209,44,0.717391304347826,0.402173913043478,0.597826086956522,0.282608695652174
"3",2,"2011-ausopen-1105",2011,"ausopen",1105,"John Isner","Florent Serra","Complete",1,"Men's Singles","Round 1","Court 6","H","atpi186","atps963","USA","FRA",20,69,0.716981132075472,0.347826086956522,0.652173913043478,0.283018867924528
"4",3,"2011-ausopen-1108",2011,"ausopen",1108,"Donald Young","Marin Cilic","Complete",2,"Men's Singles","Round 1","Show Court 2","D","atpy124","atpc977","USA","CRO",129,15,0.52,0.253731343283582,0.746268656716418,0.48
"5",4,"2011-ausopen-1112",2011,"ausopen",1112,"Juan Ignacio Chela","Michael Llodra","Complete",2,"Men's Singles","Round 1","Show Court 2","D","atpc514","atpl428","ARG","FRA",38,22,0.553571428571429,0.348623853211009,0.651376146788991,0.446428571428571
"6",5,"2011-ausopen-1113",2011,"ausopen",1113,"David Nalbandian","Lleyton Hewitt","Complete",1,"Men's Singles","Round 1","Rod Laver Arena","A","atpn301","atph432","ARG","AUS",27,54,0.595238095238095,0.386363636363636,0.613636363636364,0.404761904761905
"7",6,"2011-ausopen-1114",2011,"ausopen",1114,"Richard Berankis","Marinko Matosevic","Complete",1,"Men's Singles","Round 1","Court 6","H","atpbe90","atpme05","LTU","AUS",NA,NA,0.662790697674419,0.463157894736842,0.536842105263158,0.337209302325581
"8",7,"2011-ausopen-1115",2011,"ausopen",1115,"Michael Russell","Matthew Ebden","Complete",1,"Men's Singles","Round 1","Margaret Court Arena","C","atpr368","atpe690","USA","AUS",103,185,0.598639455782313,0.43609022556391,0.56390977443609,0.401360544217687
"9",8,"2011-ausopen-1116",2011,"ausopen",1116,"Jarkko Nieminen","David Ferrer","Complete",2,"Men's Singles","Round 1","Show Court 3","E","atpn289","atpf401","FIN","ESP",39,7,0.586538461538462,0.280898876404494,0.719101123595506,0.413461538461538
"10",9,"2011-ausopen-1117",2011,"ausopen",1117,"Robin Soderling","Potito Starace","Complete",1,"Men's Singles","Round 1","Margaret Court Arena","C","atpsa49","atps843","SWE","ITA",4,47,0.779411764705882,0.45,0.55,0.220588235294118
"11",10,"2011-ausopen-1124",2011,"ausopen",1124,"Philipp Petzschner","Jo-Wilfried Tsonga","Complete",2,"Men's Singles","Round 1","Margaret Court Arena","C","atpp624","atpt786","GER","FRA",NA,NA,0.589147286821705,0.397590361445783,0.602409638554217,0.410852713178295
"12",11,"2011-ausopen-1126",2011,"ausopen",1126,"Carsten Ball","Pere Riba","Complete",2,"Men's Singles","Round 1","Court 8","J","atpbd59","atpr750","AUS","ESP",158,71,0.669172932330827,0.366412213740458,0.633587786259542,0.330827067669173
"13",12,"2011-ausopen-1127",2011,"ausopen",1127,"Dudi Sela","Juan Martin Del Potro","Complete",2,"Men's Singles","Round 1","Show Court 2","D","atpsc56","atpd683","ISR","ARG",95,259,0.645833333333333,0.339285714285714,0.660714285714286,0.354166666666667
"14",13,"2011-ausopen-1128",2011,"ausopen",1128,"Grega Zemlja","Marcos Baghdatis","Complete",2,"Men's Singles","Round 1","Show Court 3","E","atpz189","atpb837","SLO","CYP",142,21,0.580246913580247,0.35036496350365,0.64963503649635,0.419753086419753
"15",14,"2011-ausopen-1132",2011,"ausopen",1132,"Karol Beck","Andy Murray","Retired",2,"Men's Singles","Round 1","Hisense Arena","B","atpb804","atpmc10","SVK","GBR",104,5,NA,NA,NA,NA
"16",15,"2011-ausopen-1133",2011,"ausopen",1133,"Tomas Berdych","Marco Crugnola","Complete",1,"Men's Singles","Round 1","Show Court 2","D","atpba47","atpc968","CZE","ITA",6,242,0.707692307692308,0.518518518518519,0.481481481481481,0.292307692307692
"17",16,"2011-ausopen-1136",2011,"ausopen",1136,"Frank Dancevic","Richard Gasquet","Complete",2,"Men's Singles","Round 1","Court 8","J","atpd499","atpg628","CAN","FRA",269,29,0.541666666666667,0.3125,0.6875,0.458333333333333
"18",17,"2011-ausopen-1138",2011,"ausopen",1138,"Fabio Fognini","Kei Nishikori","Complete",2,"Men's Singles","Round 1","Court 8","J","atpf510","atpn552","ITA","JPN",57,83,0.552238805970149,0.369230769230769,0.630769230769231,0.447761194029851
"19",18,"2011-ausopen-1140",2011,"ausopen",1140,"Rainer Schuettler","Fernando Verdasco","Complete",2,"Men's Singles","Round 1","Show Court 2","D","atps636","atpv306","GER","ESP",84,9,0.522727272727273,0.25,0.75,0.477272727272727
"20",19,"2011-ausopen-1144",2011,"ausopen",1144,"Peter Luczak","Ivan Ljubicic","Complete",2,"Men's Singles","Round 1","Margaret Court Arena","C","atpl515","atpl360","AUS","CRO",136,17,0.598290598290598,0.228260869565217,0.771739130434783,0.401709401709402
"21",20,"2011-ausopen-1148",2011,"ausopen",1148,"Marcel Granollers","Novak Djokovic","Complete",2,"Men's Singles","Round 1","Rod Laver Arena","A","atpg710","atpd643","ESP","SRB",42,3,0.446153846153846,0.272727272727273,0.727272727272727,0.553846153846154
"22",21,"2011-ausopen-1149",2011,"ausopen",1149,"Andy Roddick","Jan Hajek","Complete",1,"Men's Singles","Round 1","Hisense Arena","B","atpr485","atph571","USA","CZE",8,98,0.716216216216216,0.513513513513513,0.486486486486487,0.283783783783784
"23",22,"2011-ausopen-1152",2011,"ausopen",1152,"Simon Greul","Juan Monaco","Complete",2,"Men's Singles","Round 1","Court 6","H","atpg511","atpma21","GER","ARG",131,26,0.5078125,0.380952380952381,0.619047619047619,0.4921875
"24",23,"2011-ausopen-1153",2011,"ausopen",1153,"Stanislas Wawrinka","Teymuraz Gabashvili","Complete",1,"Men's Singles","Round 1","Show Court 3","E","atpw367","atpg681","SUI","RUS",19,77,0.675675675675676,0.383177570093458,0.616822429906542,0.324324324324324
"25",24,"2011-ausopen-1156",2011,"ausopen",1156,"Thiemo de Bakker","Gael Monfils","Complete",2,"Men's Singles","Round 1","Hisense Arena","B","atpd776","atpmc65","NED","FRA",NA,NA,0.544502617801047,0.33587786259542,0.66412213740458,0.455497382198953
"26",25,"2011-ausopen-1157",2011,"ausopen",1157,"Mardy Fish","Victor Hanescu","Complete",1,"Men's Singles","Round 1","Show Court 3","E","atpf339","atph528","USA","ROU",16,52,0.652173913043478,0.363013698630137,0.636986301369863,0.347826086956522
"27",26,"2011-ausopen-1160",2011,"ausopen",1160,"Lukasz Kubot","Sam Querrey","Complete",1,"Men's Singles","Round 1","Show Court 2","D","atpk540","atpq927","POL","USA",72,18,0.645962732919255,0.412790697674419,0.587209302325581,0.354037267080745
