,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2013-wimbledon-1101,2013,wimbledon,1101,Novak Djokovic,Florian Mayer,,,,,,,,,,,1.0,33.0
1,2013-wimbledon-1104,2013,wimbledon,1104,Ryan Harrison,Jeremy Chardy,,,,,,,,,,,84.0,27.0
2,2013-wimbledon-1105,2013,wimbledon,1105,Gilles Simon,Feliciano Lopez,,,,,,,,,,,17.0,39.0
3,2013-wimbledon-1108,2013,wimbledon,1108,Dmitry Tursunov,Tommy Haas,,,,,,,,,,,65.0,13.0
4,2013-wimbledon-1109,2013,wimbledon,1109,Richard Gasquet,Marcel Granollers,,,,,,,,,,,9.0,41.0
5,2013-wimbledon-1112,2013,wimbledon,1112,Bernard Tomic,Sam Querrey,,,,,,,,,,,64.0,19.0
6,2013-wimbledon-1116,2013,wimbledon,1116,Martin Klizan,Tomas Berdych,,,,,,,,,,,35.0,6.0
7,2013-wimbledon-1117,2013,wimbledon,1117,David Ferrer,Martin Alund,,,,,,,,,,,4.0,103.0
8,2013-wimbledon-1121,2013,wimbledon,1121,Milos Raonic,Carlos Berlocq,,,,,,,,,,,15.0,72.0
9,2013-wimbledon-1124,2013,wimbledon,1124,Ivan Dodig,Philipp Kohlschreiber,,,,,,,,,,,54.0,18.0
10,2013-wimbledon-1129,2013,wimbledon,1129,Grigor Dimitrov,Simone Bolelli,,,,,,,,,,,31.0,91.0
11,2013-wimbledon-1132,2013,wimbledon,1132,Albert Ramos,Juan Martin Del Potro,,,,,,,,,,,61.0,8.0
12,2013-wimbledon-1133,2013,wimbledon,1133,Rafael Nadal,Steve Darcis,,,,,,,,,,,5.0,113.0
13,2013-wimbledon-1140,2013,wimbledon,1140,Lleyton Hewitt,Stanislas Wawrinka,,,,,,,,,,,70.0,10.0
14,2013-wimbledon-1141,2013,wimbledon,1141,Nicolas Almagro,Jurgen Zopp,,,,,,,,,,,16.0,181.0
15,2013-wimbledon-1144,2013,wimbledon,1144,Kyle Edmund,Jerzy Janowicz,,,,,,,,,,,442.0,22.0
16,2013-wimbledon-1145,2013,wimbledon,1145,Fabio Fognini,Jurgen Melzer,,,,,,,,,,,30.0,36.0
17,2013-wimbledon-1147,2013,wimbledon,1147,Rogerio Dutra Silva,Sergiy Stakhovsky,,,,,,,,,,,102.0,117.0
18,2013-wimbledon-1148,2013,wimbledon,1148,Victor Hanescu,Roger Federer,,,,,,,,,,,47.0,3.0
19,2013-wimbledon-1149,2013,wimbledon,1149,Jo-Wilfried Tsonga,David Goffin,,,,,,,,,,,,
20,2013-wimbledon-1156,2013,wimbledon,1156,Marcos Baghdatis,Marin Cilic,,,,,,,,,,,40.0,12.0
21,2013-wimbledon-1157,2013,wimbledon,1157,Janko Tipsarevic,Viktor Troicki,,,,,,,,,,,14.0,44.0
22,2013-wimbledon-1160,2013,wimbledon,1160,Robin Haase,Mikhail Youzhny,,,,,,,,,,,57.0,28.0
23,2013-wimbledon-1163,2013,wimbledon,1163,James Ward,Yen-Hsun Lu,,,,,,,,,,,,
24,2013-wimbledon-1164,2013,wimbledon,1164,Benjamin Becker,Andy Murray,,,,,,,,,,,95.0,2.0
25,2013-wimbledon-1201,2013,wimbledon,1201,Novak Djokovic,Bobby Reynolds,,,,,,,,,,,1.0,154.0
26,2013-wimbledon-1204,2013,wimbledon,1204,Jimmy Wang,Tommy Haas,,,,,,,,,,,150.0,13.0
27,2013-wimbledon-1205,2013,wimbledon,1205,Richard Gasquet,Go Soeda,,,,,,,,,,,9.0,130.0
