,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2015-frenchopen-1101,2015,frenchopen,1101,Novak Djokovic,Jarkko Nieminen,,,,,,,,,,,1.0,72.0
1,2015-frenchopen-1102,2015,frenchopen,1102,Gilles Muller,Paolo Lorenzi,,,,,,,,,,,42.0,64.0
2,2015-frenchopen-1104,2015,frenchopen,1104,Luca Vanni,Bernard Tomic,,,,,,,,,,,148.0,66.0
3,2015-frenchopen-1105,2015,frenchopen,1105,Richard Gasquet,Germain Gigounon,,,,,,,,,,,28.0,288.0
4,2015-frenchopen-1108,2015,frenchopen,1108,Tim Smyczek,Kevin Anderson,,,,,,,,,,,112.0,15.0
5,2015-frenchopen-1109,2015,frenchopen,1109,Grigor Dimitrov,Jack Sock,,,,,,,,,,,11.0,45.0
6,2015-frenchopen-1111,2015,frenchopen,1111,Borna Coric,Sam Querrey,,,,,,,,,,,91.0,35.0
7,2015-frenchopen-1113,2015,frenchopen,1113,Adrian Mannarino,Jurgen Melzer,,,,,,,,,,,36.0,108.0
8,2015-frenchopen-1115,2015,frenchopen,1115,Nicolas Almagro,Alexandr Dolgopolov,,,,,,,,,,,69.0,23.0
9,2015-frenchopen-1116,2015,frenchopen,1116,Quentin Halys,Rafael Nadal,,,,,,,,,,,638.0,3.0
10,2015-frenchopen-1117,2015,frenchopen,1117,Andy Murray,Facundo Arguello,,,,,,,,,,,6.0,149.0
11,2015-frenchopen-1118,2015,frenchopen,1118,Vasek Pospisil,Joao Sousa,,,,,,,,,,,60.0,55.0
12,2015-frenchopen-1119,2015,frenchopen,1119,Kyle Edmund,Stephane Robert,,,,,,,,,,,192.0,132.0
13,2015-frenchopen-1120,2015,frenchopen,1120,Denis Istomin,Nick Kyrgios,,,,,,,,,,,50.0,53.0
14,2015-frenchopen-1121,2015,frenchopen,1121,David Goffin,Filip Krajinovic,,,,,,,,,,,22.0,97.0
15,2015-frenchopen-1123,2015,frenchopen,1123,Jeremy Chardy,Michael Berrer,,,,,,,,,,,31.0,122.0
16,2015-frenchopen-1124,2015,frenchopen,1124,Andreas Seppi,John Isner,,,,,,,,,,,46.0,21.0
17,2015-frenchopen-1125,2015,frenchopen,1125,Marin Cilic,Robin Haase,,,,,,,,,,,9.0,83.0
18,2015-frenchopen-1126,2015,frenchopen,1126,James Duckworth,Andrea Arnaboldi,,,,,,,,,,,120.0,178.0
19,2015-frenchopen-1127,2015,frenchopen,1127,Jerzy Janowicz,Maxime Hamou,,,,,,,,,,,44.0,350.0
20,2015-frenchopen-1128,2015,frenchopen,1128,Jiri Vesely,Leonardo Mayer,,,,,,,,,,,39.0,26.0
21,2015-frenchopen-1132,2015,frenchopen,1132,Lukas Lacko,David Ferrer,,,,,,,,,,,99.0,10.0
22,2015-frenchopen-1133,2015,frenchopen,1133,Kei Nishikori,Paul Henri Mathieu,,,,,,,,,,,5.0,93.0
23,2015-frenchopen-1137,2015,frenchopen,1137,Roberto Bautista Agut,Florian Mayer,,,,,,,,,,,16.0,182.0
24,2015-frenchopen-1138,2015,frenchopen,1138,Elias Ymer,Lukas Rosol,,,,,,,,,,,212.0,30.0
25,2015-frenchopen-1140,2015,frenchopen,1140,Teymuraz Gabashvili,Feliciano Lopez,,,,,,,,,,,67.0,14.0
26,2015-frenchopen-1141,2015,frenchopen,1141,Jo Wilfried Tsonga,Christian Lindell,,,,,,,,,,,12.0,252.0
27,2015-frenchopen-1142,2015,frenchopen,1142,Mikhail Kukushkin,Dudi Sela,,,,,,,,,,,51.0,106.0
28,2015-frenchopen-1144,2015,frenchopen,1144,Go Soeda,Philipp Kohlschreiber,,,,,,,,,,,92.0,24.0
29,2015-frenchopen-1145,2015,frenchopen,1145,Fabio Fognini,Tatsuma Ito,,,,,,,,,,,18.0,89.0
30,2015-frenchopen-1146,2015,frenchopen,1146,Gastao Elias,Benoit Paire,,,,,,,,,,,143.0,135.0
31,2015-frenchopen-1148,2015,frenchopen,1148,Yoshihito Nishioka,Tomas Berdych,,,,,,,,,,,165.0,7.0
32,2015-frenchopen-1149,2015,frenchopen,1149,Stan Wawrinka,Marsel Ilhan,,,,,,,,,,,,
33,2015-frenchopen-1152,2015,frenchopen,1152,Steve Johnson,Guillermo Garcia Lopez,,,,,,,,,,,38.0,37.0
34,2015-frenchopen-1153,2015,frenchopen,1153,Ernests Gulbis,Igor Sijsling,,,,,,,,,,,13.0,84.0
35,2015-frenchopen-1154,2015,frenchopen,1154,Nicolas Mahut,Kimmer Coppejans,,,,,,,,,,,114.0,185.0
36,2015-frenchopen-1155,2015,frenchopen,1155,Frances Tiafoe,Martin Klizan,,,,,,,,,,,,
37,2015-frenchopen-1156,2015,frenchopen,1156,Lucas Pouille,Gilles Simon,,,,,,,,,,,117.0,20.0
38,2015-frenchopen-1157,2015,frenchopen,1157,Gael Monfils,Edouard Roger Vasselin,,,,,,,,,,,19.0,119.0
39,2015-frenchopen-1159,2015,frenchopen,1159,Dominic Thiem,Aljaz Bedene,,,,,,,,,,,40.0,116.0
40,2015-frenchopen-1160,2015,frenchopen,1160,Sam Groth,Pablo Cuevas,,,,,,,,,,,,
41,2015-frenchopen-1161,2015,frenchopen,1161,Ivo Karlovic,Marcos Baghdatis,,,,,,,,,,,27.0,78.0
42,2015-frenchopen-1162,2015,frenchopen,1162,Damir Dzumhur,Mikhail Youzhny,,,,,,,,,,,105.0,49.0
43,2015-frenchopen-1163,2015,frenchopen,1163,Marcel Granollers,Matthias Bachinger,,,,,,,,,,,58.0,142.0
44,2015-frenchopen-1164,2015,frenchopen,1164,Alejandro Falla,Roger Federer,,,,,,,,,,,101.0,2.0
45,2015-frenchopen-1201,2015,frenchopen,1201,Novak Djokovic,Gilles Muller,,,,,,,,,,,1.0,42.0
46,2015-frenchopen-1202,2015,frenchopen,1202,Thanasi Kokkinakis,Bernard Tomic,,,,,,,,,,,147.0,66.0
47,2015-frenchopen-1203,2015,frenchopen,1203,Richard Gasquet,Carlos Berlocq,,,,,,,,,,,28.0,70.0
48,2015-frenchopen-1204,2015,frenchopen,1204,Yen Hsun Lu,Kevin Anderson,,,,,,,,,,,47.0,15.0
49,2015-frenchopen-1205,2015,frenchopen,1205,Jack Sock,Pablo Carreno Busta,,,,,,,,,,,45.0,52.0
50,2015-frenchopen-1206,2015,frenchopen,1206,Borna Coric,Tommy Robredo,,,,,,,,,,,91.0,17.0
51,2015-frenchopen-1207,2015,frenchopen,1207,Jurgen Melzer,Andrey Kuznetsov,,,,,,,,,,,108.0,88.0
52,2015-frenchopen-1208,2015,frenchopen,1208,Nicolas Almagro,Rafael Nadal,,,,,,,,,,,69.0,3.0
53,2015-frenchopen-1209,2015,frenchopen,1209,Andy Murray,Joao Sousa,,,,,,,,,,,6.0,55.0
54,2015-frenchopen-1211,2015,frenchopen,1211,David Goffin,Santiago Giraldo,,,,,,,,,,,22.0,32.0
55,2015-frenchopen-1212,2015,frenchopen,1212,Jeremy Chardy,John Isner,,,,,,,,,,,31.0,21.0
56,2015-frenchopen-1213,2015,frenchopen,1213,Marin Cilic,Andrea Arnaboldi,,,,,,,,,,,9.0,178.0
57,2015-frenchopen-1216,2015,frenchopen,1216,Daniel Gimeno Traver,David Ferrer,,,,,,,,,,,110.0,10.0
58,2015-frenchopen-1217,2015,frenchopen,1217,Kei Nishikori,Thomaz Bellucci,,,,,,,,,,,5.0,65.0
59,2015-frenchopen-1218,2015,frenchopen,1218,Benjamin Becker,Fernando Verdasco,,,,,,,,,,,41.0,33.0
60,2015-frenchopen-1220,2015,frenchopen,1220,Juan Monaco,Teymuraz Gabashvili,,,,,,,,,,,63.0,67.0
61,2015-frenchopen-1221,2015,frenchopen,1221,Jo Wilfried Tsonga,Dudi Sela,,,,,,,,,,,12.0,106.0
62,2015-frenchopen-1222,2015,frenchopen,1222,Pablo Andujar,Philipp Kohlschreiber,,,,,,,,,,,43.0,24.0
63,2015-frenchopen-1223,2015,frenchopen,1223,Fabio Fognini,Benoit Paire,,,,,,,,,,,18.0,135.0
64,2015-frenchopen-1224,2015,frenchopen,1224,Radek Stepanek,Tomas Berdych,,,,,,,,,,,74.0,7.0
65,2015-frenchopen-1225,2015,frenchopen,1225,Stan Wawrinka,Dusan Lajovic,,,,,,,,,,,,
66,2015-frenchopen-1227,2015,frenchopen,1227,Ernests Gulbis,Nicolas Mahut,,,,,,,,,,,13.0,114.0
67,2015-frenchopen-1228,2015,frenchopen,1228,Martin Klizan,Gilles Simon,,,,,,,,,,,34.0,20.0
68,2015-frenchopen-1229,2015,frenchopen,1229,Gael Monfils,Diego Schwartzman,,,,,,,,,,,,
69,2015-frenchopen-1230,2015,frenchopen,1230,Dominic Thiem,Pablo Cuevas,,,,,,,,,,,40.0,29.0
70,2015-frenchopen-1231,2015,frenchopen,1231,Marcos Baghdatis,Damir Dzumhur,,,,,,,,,,,78.0,105.0
71,2015-frenchopen-1232,2015,frenchopen,1232,Marcel Granollers,Roger Federer,,,,,,,,,,,58.0,2.0
72,2015-frenchopen-1301,2015,frenchopen,1301,Novak Djokovic,Thanasi Kokkinakis,,,,,,,,,,,1.0,147.0
73,2015-frenchopen-1302,2015,frenchopen,1302,Richard Gasquet,Kevin Anderson,,,,,,,,,,,28.0,15.0
74,2015-frenchopen-1303,2015,frenchopen,1303,Jack Sock,Borna Coric,,,,,,,,,,,45.0,91.0
75,2015-frenchopen-1304,2015,frenchopen,1304,Andrey Kuznetsov,Rafael Nadal,,,,,,,,,,,88.0,3.0
76,2015-frenchopen-1305,2015,frenchopen,1305,Andy Murray,Nick Kyrgios,,,,,,,,,,,6.0,53.0
77,2015-frenchopen-1306,2015,frenchopen,1306,David Goffin,Jeremy Chardy,,,,,,,,,,,22.0,31.0
78,2015-frenchopen-1307,2015,frenchopen,1307,Marin Cilic,Leonardo Mayer,,,,,,,,,,,9.0,26.0
79,2015-frenchopen-1308,2015,frenchopen,1308,Simone Bolelli,David Ferrer,,,,,,,,,,,48.0,10.0
80,2015-frenchopen-1310,2015,frenchopen,1310,Lukas Rosol,Teymuraz Gabashvili,,,,,,,,,,,30.0,67.0
81,2015-frenchopen-1311,2015,frenchopen,1311,Jo Wilfried Tsonga,Pablo Andujar,,,,,,,,,,,12.0,43.0
82,2015-frenchopen-1312,2015,frenchopen,1312,Benoit Paire,Tomas Berdych,,,,,,,,,,,135.0,7.0
83,2015-frenchopen-1313,2015,frenchopen,1313,Stan Wawrinka,Steve Johnson,,,,,,,,,,,,
84,2015-frenchopen-1314,2015,frenchopen,1314,Nicolas Mahut,Gilles Simon,,,,,,,,,,,114.0,20.0
85,2015-frenchopen-1315,2015,frenchopen,1315,Gael Monfils,Pablo Cuevas,,,,,,,,,,,19.0,29.0
86,2015-frenchopen-1316,2015,frenchopen,1316,Damir Dzumhur,Roger Federer,,,,,,,,,,,105.0,2.0
87,2015-frenchopen-1401,2015,frenchopen,1401,Novak Djokovic,Richard Gasquet,,,,,,,,,,,1.0,28.0
88,2015-frenchopen-1402,2015,frenchopen,1402,Jack Sock,Rafael Nadal,,,,,,,,,,,45.0,3.0
89,2015-frenchopen-1403,2015,frenchopen,1403,Andy Murray,Jeremy Chardy,,,,,,,,,,,6.0,31.0
90,2015-frenchopen-1404,2015,frenchopen,1404,Marin Cilic,David Ferrer,,,,,,,,,,,9.0,10.0
91,2015-frenchopen-1405,2015,frenchopen,1405,Kei Nishikori,Teymuraz Gabashvili,,,,,,,,,,,5.0,67.0
92,2015-frenchopen-1406,2015,frenchopen,1406,Jo Wilfried Tsonga,Tomas Berdych,,,,,,,,,,,12.0,7.0
93,2015-frenchopen-1407,2015,frenchopen,1407,Stan Wawrinka,Gilles Simon,,,,,,,,,,,,
94,2015-frenchopen-1408,2015,frenchopen,1408,Gael Monfils,Roger Federer,,,,,,,,,,,19.0,2.0
95,2015-frenchopen-1501,2015,frenchopen,1501,Novak Djokovic,Rafael Nadal,,,,,,,,,,,1.0,3.0
96,2015-frenchopen-1502,2015,frenchopen,1502,Andy Murray,David Ferrer,,,,,,,,,,,6.0,10.0
97,2015-frenchopen-1503,2015,frenchopen,1503,Kei Nishikori,Jo Wilfried Tsonga,,,,,,,,,,,5.0,12.0
98,2015-frenchopen-1504,2015,frenchopen,1504,Stan Wawrinka,Roger Federer,,,,,,,,,,,,
99,2015-frenchopen-1601,2015,frenchopen,1601,Novak Djokovic,Andy Murray,,,,,,,,,,,1.0,6.0
100,2015-frenchopen-1602,2015,frenchopen,1602,Jo Wilfried Tsonga,Stan Wawrinka,,,,,,,,,,,,
101,2015-frenchopen-1701,2015,frenchopen,1701,Novak Djokovic,Stan Wawrinka,,,,,,,,,,,,
102,2015-frenchopen-2101,2015,frenchopen,2101,Serena Williams,Andrea Hlavackova,,,,,,,,,,,1.0,178.0
103,2015-frenchopen-2102,2015,frenchopen,2102,Anna Lena Friedsam,Alexa Glatch,,,,,,,,,,,98.0,543.0
104,2015-frenchopen-2103,2015,frenchopen,2103,Saisai Zheng,Lucie Hradecka,,,,,,,,,,,79.0,142.0
105,2015-frenchopen-2104,2015,frenchopen,2104,Maria Teresa Torro Flor,Victoria Azarenka,,,,,,,,,,,89.0,44.0
106,2015-frenchopen-2106,2015,frenchopen,2106,Denisa Allertova,Johanna Konta,,,,,,,,,,,107.0,144.0
107,2015-frenchopen-2107,2015,frenchopen,2107,Mathilde Johansson,Heather Watson,,,,,,,,,,,200.0,38.0
108,2015-frenchopen-2108,2015,frenchopen,2108,Sloane Stephens,Venus Williams,,,,,,,,,,,32.0,18.0
109,2015-frenchopen-2109,2015,frenchopen,2109,Andrea Petkovic,Shelby Rogers,,,,,,,,,,,13.0,76.0
110,2015-frenchopen-2110,2015,frenchopen,2110,Lourdes Dominguez Lino,Christina McHale,,,,,,,,,,,,
111,2015-frenchopen-2112,2015,frenchopen,2112,Alison Riske,Sara Errani,,,,,,,,,,,40.0,14.0
112,2015-frenchopen-2113,2015,frenchopen,2113,Jelena Jankovic,Sesil Karatantcheva,,,,,,,,,,,15.0,175.0
113,2015-frenchopen-2114,2015,frenchopen,2114,Irina Falconi,Manon Arcangioli,,,,,,,,,,,111.0,304.0
114,2015-frenchopen-2115,2015,frenchopen,2115,Coco Vandeweghe,Julia Goerges,,,,,,,,,,,37.0,73.0
115,2015-frenchopen-2116,2015,frenchopen,2116,Karin Knapp,Caroline Wozniacki,,,,,,,,,,,50.0,8.0
116,2015-frenchopen-2117,2015,frenchopen,2117,Petra Kvitova,Marina Erakovic,,,,,,,,,,,4.0,75.0
117,2015-frenchopen-2118,2015,frenchopen,2118,Silvia Soler Espinosa,Pauline Parmentier,,,,,,,,,,,69.0,86.0
118,2015-frenchopen-2123,2015,frenchopen,2123,Belinda Bencic,Daniela Hantuchova,,,,,,,,,,,34.0,61.0
119,2015-frenchopen-2124,2015,frenchopen,2124,Varvara Lepchenko,Madison Keys,,,,,,,,,,,30.0,35.0
120,2015-frenchopen-2125,2015,frenchopen,2125,Karolina Pliskova,Shuai Zhang,,,,,,,,,,,20.0,63.0
121,2015-frenchopen-2126,2015,frenchopen,2126,Andreea Mitu,Alize Lim,,,,,,,,,,,,
122,2015-frenchopen-2127,2015,frenchopen,2127,Qiang Wang,Francesca Schiavone,,,,,,,,,,,103.0,78.0
123,2015-frenchopen-2128,2015,frenchopen,2128,Kiki Bertens,Svetlana Kuznetsova,,,,,,,,,,,72.0,27.0
124,2015-frenchopen-2132,2015,frenchopen,2132,Kristina Mladenovic,Eugenie Bouchard,,,,,,,,,,,71.0,7.0
125,2015-frenchopen-2133,2015,frenchopen,2133,Ana Ivanovic,Yaroslava Shvedova,,,,,,,,,,,5.0,66.0
126,2015-frenchopen-2134,2015,frenchopen,2134,Petra Cetkovska,Misaki Doi,,,,,,,,,,,59.0,108.0
127,2015-frenchopen-2135,2015,frenchopen,2135,Bojana Jovanovski,Lesia Tsurenko,,,,,,,,,,,56.0,90.0
128,2015-frenchopen-2136,2015,frenchopen,2136,Donna Vekic,Caroline Garcia,,,,,,,,,,,85.0,36.0
129,2015-frenchopen-2137,2015,frenchopen,2137,Shuai Peng,Polona Hercog,,,,,,,,,,,22.0,88.0
130,2015-frenchopen-2139,2015,frenchopen,2139,Fiona Ferro,Teliana Pereira,,,,,,,,,,,343.0,112.0
131,2015-frenchopen-2140,2015,frenchopen,2140,Louisa Chirico,Ekaterina Makarova,,,,,,,,,,,185.0,11.0
132,2015-frenchopen-2141,2015,frenchopen,2141,Agnieszka Radwanska,Annika Beck,,,,,,,,,,,6.0,55.0
133,2015-frenchopen-2145,2015,frenchopen,2145,Alize Cornet,Roberta Vinci,,,,,,,,,,,19.0,45.0
134,2015-frenchopen-2148,2015,frenchopen,2148,Evgeniya Rodina,Simona Halep,,,,,,,,,,,116.0,3.0
135,2015-frenchopen-2149,2015,frenchopen,2149,Carla Suarez Navarro,Monica Niculescu,,,,,,,,,,,17.0,49.0
136,2015-frenchopen-2150,2015,frenchopen,2150,Virginie Razzano,Veronica Cepede Royg,,,,,,,,,,,161.0,166.0
137,2015-frenchopen-2151,2015,frenchopen,2151,Magdalena Rybarikova,Olivia Rogowska,,,,,,,,,,,47.0,134.0
138,2015-frenchopen-2152,2015,frenchopen,2152,Magda Linette,Flavia Pennetta,,,,,,,,,,,133.0,12.0
139,2015-frenchopen-2153,2015,frenchopen,2153,Garbine Muguruza,Petra Martic,,,,,,,,,,,24.0,184.0
140,2015-frenchopen-2154,2015,frenchopen,2154,Tatjana Maria,Camila Giorgi,,,,,,,,,,,163.0,33.0
141,2015-frenchopen-2156,2015,frenchopen,2156,Timea Babos,Angelique Kerber,,,,,,,,,,,92.0,9.0
142,2015-frenchopen-2157,2015,frenchopen,2157,Lucie Safarova,Anastasia Pavlyuchenkova,,,,,,,,,,,16.0,25.0
143,2015-frenchopen-2158,2015,frenchopen,2158,Oceane Dodin,Kurumi Nara,,,,,,,,,,,183.0,39.0
144,2015-frenchopen-2161,2015,frenchopen,2161,Samantha Stosur,Madison Brengle,,,,,,,,,,,21.0,64.0
145,2015-frenchopen-2162,2015,frenchopen,2162,Amandine Hesse,Jarmila Gajdosova,,,,,,,,,,,282.0,62.0
146,2015-frenchopen-2164,2015,frenchopen,2164,Kaia Kanepi,Maria Sharapova,,,,,,,,,,,48.0,2.0
147,2015-frenchopen-2201,2015,frenchopen,2201,Serena Williams,Anna Lena Friedsam,,,,,,,,,,,1.0,98.0
148,2015-frenchopen-2202,2015,frenchopen,2202,Lucie Hradecka,Victoria Azarenka,,,,,,,,,,,142.0,44.0
149,2015-frenchopen-2204,2015,frenchopen,2204,Heather Watson,Sloane Stephens,,,,,,,,,,,38.0,32.0
