,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2017-ausopen-1101,2017,ausopen,1101,Andy Murray,Illya Marchenko,,,,,,,,,,,1.0,93.0
1,2017-ausopen-1102,2017,ausopen,1102,Andrey Rublev,Yen Hsun Lu,,,,,,,,,,,156.0,61.0
2,2017-ausopen-1103,2017,ausopen,1103,Alex De Minaur,Gerald Melzer,,,,,,,,,,,333.0,84.0
3,2017-ausopen-1104,2017,ausopen,1104,Quentin Halys,Sam Querrey,,,,,,,,,,,154.0,31.0
4,2017-ausopen-1105,2017,ausopen,1105,John Isner,Konstantin Kravchuk,,,,,,,,,,,19.0,88.0
5,2017-ausopen-1106,2017,ausopen,1106,Guillermo Garcia Lopez,Mischa Zverev,,,,,,,,,,,74.0,50.0
6,2017-ausopen-1108,2017,ausopen,1108,Alexander Bublik,Lucas Pouille,,,,,,,,,,,206.0,16.0
7,2017-ausopen-1109,2017,ausopen,1109,Tomas Berdych,Luca Vanni,,,,,,,,,,,10.0,160.0
8,2017-ausopen-1110,2017,ausopen,1110,Ryan Harrison,Nicolas Mahut,,,,,,,,,,,89.0,38.0
9,2017-ausopen-1112,2017,ausopen,1112,Jurgen Melzer,Roger Federer,,,,,,,,,,,296.0,17.0
10,2017-ausopen-1113,2017,ausopen,1113,Albert Ramos Vinolas,Lukas Lacko,,,,,,,,,,,,
11,2017-ausopen-1116,2017,ausopen,1116,Andrey Kuznetsov,Kei Nishikori,,,,,,,,,,,48.0,5.0
12,2017-ausopen-1117,2017,ausopen,1117,Stan Wawrinka,Martin Klizan,,,,,,,,,,,,
13,2017-ausopen-1118,2017,ausopen,1118,Federico Delbonis,Steve Johnson,,,,,,,,,,,42.0,33.0
14,2017-ausopen-1119,2017,ausopen,1119,James Duckworth,Paolo Lorenzi,,,,,,,,,,,105.0,41.0
15,2017-ausopen-1120,2017,ausopen,1120,Damir Dzumhur,Viktor Troicki,,,,,,,,,,,77.0,29.0
16,2017-ausopen-1121,2017,ausopen,1121,Pablo Cuevas,Diego Schwartzman,,,,,,,,,,,,
17,2017-ausopen-1122,2017,ausopen,1122,Steve Darcis,Sam Groth,,,,,,,,,,,,
18,2017-ausopen-1123,2017,ausopen,1123,Paul Henri Mathieu,Andreas Seppi,,,,,,,,,,,73.0,85.0
19,2017-ausopen-1124,2017,ausopen,1124,Gastao Elias,Nick Kyrgios,,,,,,,,,,,81.0,14.0
20,2017-ausopen-1125,2017,ausopen,1125,Jo Wilfried Tsonga,Thiago Monteiro,,,,,,,,,,,12.0,83.0
21,2017-ausopen-1126,2017,ausopen,1126,Dusan Lajovic,Stephane Robert,,,,,,,,,,,92.0,53.0
22,2017-ausopen-1127,2017,ausopen,1127,Karen Khachanov,Adrian Mannarino,,,,,,,,,,,51.0,60.0
23,2017-ausopen-1128,2017,ausopen,1128,Pierre Hugues Herbert,Jack Sock,,,,,,,,,,,76.0,23.0
24,2017-ausopen-1129,2017,ausopen,1129,Bernard Tomic,Thomaz Bellucci,,,,,,,,,,,27.0,62.0
25,2017-ausopen-1130,2017,ausopen,1130,Victor Estrella Burgos,Aljaz Bedene,,,,,,,,,,,,
26,2017-ausopen-1131,2017,ausopen,1131,Facundo Bagnis,Daniel Evans,,,,,,,,,,,55.0,67.0
27,2017-ausopen-1132,2017,ausopen,1132,Jerzy Janowicz,Marin Cilic,,,,,,,,,,,278.0,7.0
28,2017-ausopen-1133,2017,ausopen,1133,Gael Monfils,Jiri Vesely,,,,,,,,,,,6.0,54.0
29,2017-ausopen-1134,2017,ausopen,1134,Alexandr Dolgopolov,Borna Coric,,,,,,,,,,,63.0,57.0
30,2017-ausopen-1136,2017,ausopen,1136,Nikoloz Basilashvili,Philipp Kohlschreiber,,,,,,,,,,,94.0,32.0
31,2017-ausopen-1137,2017,ausopen,1137,Alexander Zverev,Robin Haase,,,,,,,,,,,24.0,58.0
32,2017-ausopen-1139,2017,ausopen,1139,Mikhail Youzhny,Marcos Baghdatis,,,,,,,,,,,59.0,36.0
33,2017-ausopen-1140,2017,ausopen,1140,Florian Mayer,Rafael Nadal,,,,,,,,,,,49.0,9.0
34,2017-ausopen-1141,2017,ausopen,1141,Roberto Bautista Agut,Guido Pella,,,,,,,,,,,13.0,79.0
35,2017-ausopen-1142,2017,ausopen,1142,Yoshihito Nishioka,Alex Bolt,,,,,,,,,,,100.0,631.0
36,2017-ausopen-1143,2017,ausopen,1143,Daniil Medvedev,Ernesto Escobedo,,,,,,,,,,,65.0,133.0
37,2017-ausopen-1144,2017,ausopen,1144,Omar Jasika,David Ferrer,,,,,,,,,,,287.0,21.0
38,2017-ausopen-1145,2017,ausopen,1145,Gilles Simon,Michael Mmoh,,,,,,,,,,,25.0,195.0
39,2017-ausopen-1146,2017,ausopen,1146,Jared Donaldson,Rogerio Dutra Silva,,,,,,,,,,,101.0,96.0
40,2017-ausopen-1148,2017,ausopen,1148,Dustin Brown,Milos Raonic,,,,,,,,,,,70.0,3.0
41,2017-ausopen-1149,2017,ausopen,1149,Dominic Thiem,Jan Lennard Struff,,,,,,,,,,,8.0,64.0
42,2017-ausopen-1150,2017,ausopen,1150,Jordan Thompson,Joao Sousa,,,,,,,,,,,75.0,44.0
43,2017-ausopen-1151,2017,ausopen,1151,Tommy Haas,Benoit Paire,,,,,,,,,,,1030.0,46.0
44,2017-ausopen-1152,2017,ausopen,1152,Fabio Fognini,Feliciano Lopez,,,,,,,,,,,47.0,28.0
45,2017-ausopen-1153,2017,ausopen,1153,Ivo Karlovic,Horacio Zeballos,,,,,,,,,,,20.0,69.0
46,2017-ausopen-1154,2017,ausopen,1154,Adam Pavlasek,Andrew Whittington,,,,,,,,,,,72.0,190.0
47,2017-ausopen-1155,2017,ausopen,1155,Dmitry Tursunov,Radek Stepanek,,,,,,,,,,,408.0,102.0
48,2017-ausopen-1156,2017,ausopen,1156,Reilly Opelka,David Goffin,,,,,,,,,,,207.0,11.0
49,2017-ausopen-1157,2017,ausopen,1157,Grigor Dimitrov,Christopher O'Connell,,,,,,,,,,,,
50,2017-ausopen-1159,2017,ausopen,1159,Radu Albot,Carlos Berlocq,,,,,,,,,,,98.0,95.0
51,2017-ausopen-1160,2017,ausopen,1160,Blake Mott,Richard Gasquet,,,,,,,,,,,284.0,18.0
52,2017-ausopen-1162,2017,ausopen,1162,Kyle Edmund,Santiago Giraldo,,,,,,,,,,,45.0,90.0
53,2017-ausopen-1163,2017,ausopen,1163,Denis Istomin,Ivan Dodig,,,,,,,,,,,119.0,153.0
54,2017-ausopen-1164,2017,ausopen,1164,Fernando Verdasco,Novak Djokovic,,,,,,,,,,,40.0,2.0
55,2017-ausopen-1201,2017,ausopen,1201,Andy Murray,Andrey Rublev,,,,,,,,,,,1.0,156.0
56,2017-ausopen-1202,2017,ausopen,1202,Alex De Minaur,Sam Querrey,,,,,,,,,,,333.0,31.0
57,2017-ausopen-1203,2017,ausopen,1203,John Isner,Mischa Zverev,,,,,,,,,,,19.0,50.0
58,2017-ausopen-1204,2017,ausopen,1204,Malek Jaziri,Alexander Bublik,,,,,,,,,,,56.0,206.0
59,2017-ausopen-1205,2017,ausopen,1205,Tomas Berdych,Ryan Harrison,,,,,,,,,,,10.0,89.0
60,2017-ausopen-1206,2017,ausopen,1206,Noah Rubin,Roger Federer,,,,,,,,,,,197.0,17.0
61,2017-ausopen-1207,2017,ausopen,1207,Lukas Lacko,Dudi Sela,,,,,,,,,,,122.0,86.0
62,2017-ausopen-1208,2017,ausopen,1208,Jeremy Chardy,Kei Nishikori,,,,,,,,,,,71.0,5.0
63,2017-ausopen-1209,2017,ausopen,1209,Stan Wawrinka,Steve Johnson,,,,,,,,,,,,
64,2017-ausopen-1210,2017,ausopen,1210,Paolo Lorenzi,Viktor Troicki,,,,,,,,,,,41.0,29.0
65,2017-ausopen-1211,2017,ausopen,1211,Diego Schwartzman,Steve Darcis,,,,,,,,,,,,
66,2017-ausopen-1212,2017,ausopen,1212,Andreas Seppi,Nick Kyrgios,,,,,,,,,,,85.0,14.0
67,2017-ausopen-1213,2017,ausopen,1213,Jo Wilfried Tsonga,Dusan Lajovic,,,,,,,,,,,12.0,92.0
68,2017-ausopen-1214,2017,ausopen,1214,Karen Khachanov,Jack Sock,,,,,,,,,,,51.0,23.0
69,2017-ausopen-1215,2017,ausopen,1215,Bernard Tomic,Victor Estrella Burgos,,,,,,,,,,,,
70,2017-ausopen-1216,2017,ausopen,1216,Daniel Evans,Marin Cilic,,,,,,,,,,,67.0,7.0
71,2017-ausopen-1217,2017,ausopen,1217,Gael Monfils,Alexandr Dolgopolov,,,,,,,,,,,6.0,63.0
72,2017-ausopen-1218,2017,ausopen,1218,Donald Young,Philipp Kohlschreiber,,,,,,,,,,,87.0,32.0
73,2017-ausopen-1219,2017,ausopen,1219,Alexander Zverev,Frances Tiafoe,,,,,,,,,,,,
74,2017-ausopen-1220,2017,ausopen,1220,Marcos Baghdatis,Rafael Nadal,,,,,,,,,,,36.0,9.0
75,2017-ausopen-1221,2017,ausopen,1221,Roberto Bautista Agut,Yoshihito Nishioka,,,,,,,,,,,13.0,100.0
76,2017-ausopen-1222,2017,ausopen,1222,Ernesto Escobedo,David Ferrer,,,,,,,,,,,133.0,21.0
