,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2011-usopen-1101,2011,usopen,1101,Novak Djokovic,Conor Niland,Retired,1,event_MS,round_1,Arthur Ashe Stadium,A,atpd643,atpn349,SRB,IRL,1.0,199.0
1,2011-usopen-1108,2011,usopen,1108,Sergiy Stakhovsky,Richard Gasquet,Complete,2,event_MS,round_1,Court 17,Q,atpsc77,atpg628,UKR,FRA,41.0,13.0
2,2011-usopen-1109,2011,usopen,1109,Tomas Berdych,Romain Jouan,Complete,1,event_MS,round_1,Grandstand,C,atpba47,atpj338,CZE,FRA,9.0,230.0
3,2011-usopen-1116,2011,usopen,1116,Grigor Dimitrov,Gael Monfils,Complete,2,event_MS,round_1,Louis Armstrong Stadium,B,atpd875,atpmc65,BUL,FRA,52.0,7.0
4,2011-usopen-1117,2011,usopen,1117,Roger Federer,Santiago Giraldo,Complete,1,event_MS,round_1,Arthur Ashe Stadium,A,atpf324,atpg725,SUI,COL,3.0,56.0
5,2011-usopen-1120,2011,usopen,1120,Ryan Harrison,Marin Cilic,Complete,2,event_MS,round_1,Louis Armstrong Stadium,B,atph940,atpc977,USA,CRO,67.0,27.0
6,2011-usopen-1123,2011,usopen,1123,Tommy Haas,Jonathan Dasnieres De Veigy,Complete,1,event_MS,round_1,Court 17,Q,atph355,atpd729,GER,FRA,477.0,250.0
7,2011-usopen-1124,2011,usopen,1124,Alejandro Falla,Viktor Troicki,Complete,1,event_MS,round_1,Grandstand,C,atpf444,atpt840,COL,SRB,117.0,15.0
8,2011-usopen-1125,2011,usopen,1125,Jo-Wilfried Tsonga,Yen-Hsun Lu,Complete,1,event_MS,round_1,Grandstand,C,atpt786,atpl575,FRA,TPE,,
9,2011-usopen-1128,2011,usopen,1128,Jarkko Nieminen,Fernando Verdasco,Complete,2,event_MS,round_1,Grandstand,C,atpn289,atpv306,FIN,ESP,50.0,19.0
