,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2013-ausopen-1101,2013,ausopen,1101,Novak Djokovic,Paul-Henri Mathieu,,,,,,,,,,,,
1,2013-ausopen-1102,2013,ausopen,1102,Ryan Harrison,Santiago Giraldo,,,,,,,,,,,68.0,63.0
2,2013-ausopen-1105,2013,ausopen,1105,Sam Querrey,Daniel Munoz-De La Nava,,,,,,,,,,,,
3,2013-ausopen-1109,2013,ausopen,1109,Juan Monaco,Andrey Kuznetsov,,,,,,,,,,,12.0,79.0
4,2013-ausopen-1110,2013,ausopen,1110,Kevin Anderson,Paolo Lorenzi,,,,,,,,,,,36.0,57.0
5,2013-ausopen-1112,2013,ausopen,1112,David Goffin,Fernando Verdasco,,,,,,,,,,,50.0,24.0
6,2013-ausopen-1116,2013,ausopen,1116,Michael Russell,Tomas Berdych,,,,,,,,,,,92.0,6.0
7,2013-ausopen-1117,2013,ausopen,1117,David Ferrer,Olivier Rochus,,,,,,,,,,,5.0,89.0
8,2013-ausopen-1119,2013,ausopen,1119,John Millman,Tatsuma Ito,,,,,,,,,,,191.0,85.0
9,2013-ausopen-1120,2013,ausopen,1120,Albert Ramos,Marcos Baghdatis,,,,,,,,,,,51.0,31.0
10,2013-ausopen-1121,2013,ausopen,1121,Mikhail Youzhny,Matthew Ebden,,,,,,,,,,,25.0,105.0
11,2013-ausopen-1124,2013,ausopen,1124,Victor Hanescu,Kei Nishikori,,,,,,,,,,,61.0,18.0
12,2013-ausopen-1125,2013,ausopen,1125,Nicolas Almagro,Steve Johnson,,,,,,,,,,,11.0,175.0
13,2013-ausopen-1128,2013,ausopen,1128,Simone Bolelli,Jerzy Janowicz,,,,,,,,,,,80.0,26.0
14,2013-ausopen-1132,2013,ausopen,1132,Lleyton Hewitt,Janko Tipsarevic,,,,,,,,,,,82.0,9.0
15,2013-ausopen-1133,2013,ausopen,1133,Juan Martin Del Potro,Adrian Mannarino,,,,,,,,,,,7.0,160.0
