,match_id,year,slam,match_num,player1,player2,status,winner,event_name,round,court_name,court_id,player1id,player2id,nation1,nation2,player1_rank,player2_rank
0,2013-frenchopen-1101,2013,frenchopen,1101,Novak Djokovic,David Goffin,,,,,,,,,,,1.0,57.0
1,2013-frenchopen-1103,2013,frenchopen,1103,Alex Kuznetsov,Lucas Pouille,,,,,,,,,,,172.0,310.0
2,2013-frenchopen-1106,2013,frenchopen,1106,Bernard Tomic,Victor Hanescu,,,,,,,,,,,59.0,55.0
3,2013-frenchopen-1108,2013,frenchopen,1108,Jiri Vesely,Philipp Kohlschreiber,,,,,,,,,,,127.0,18.0
4,2013-frenchopen-1109,2013,frenchopen,1109,Tommy Haas,Guillaume Rufin,,,,,,,,,,,14.0,102.0
5,2013-frenchopen-1110,2013,frenchopen,1110,Jack Sock,Guillermo Garcia-Lopez,,,,,,,,,,,,
6,2013-frenchopen-1112,2013,frenchopen,1112,Carlos Berlocq,John Isner,,,,,,,,,,,64.0,21.0
7,2013-frenchopen-1115,2013,frenchopen,1115,Fernando Verdasco,Marc Gicquel,,,,,,,,,,,52.0,126.0
8,2013-frenchopen-1116,2013,frenchopen,1116,Nicolas Mahut,Janko Tipsarevic,,,,,,,,,,,174.0,10.0
9,2013-frenchopen-1117,2013,frenchopen,1117,Rafael Nadal,Daniel Brands,,,,,,,,,,,4.0,60.0
10,2013-frenchopen-1121,2013,frenchopen,1121,Benoit Paire,Marcos Baghdatis,,,,,,,,,,,26.0,38.0
11,2013-frenchopen-1122,2013,frenchopen,1122,Lukasz Kubot,Maxime Teixeira,,,,,,,,,,,110.0,284.0
12,2013-frenchopen-1124,2013,frenchopen,1124,Jesse Levine,Kei Nishikori,,,,,,,,,,,89.0,15.0
13,2013-frenchopen-1125,2013,frenchopen,1125,Stanislas Wawrinka,Thiemo De Bakker,,,,,,,,,,,11.0,92.0
14,2013-frenchopen-1128,2013,frenchopen,1128,Albert Ramos,Jerzy Janowicz,,,,,,,,,,,63.0,23.0
15,2013-frenchopen-1129,2013,frenchopen,1129,Florian Mayer,Denis Istomin,,,,,,,,,,,30.0,43.0
16,2013-frenchopen-1130,2013,frenchopen,1130,Florent Serra,Nikolay Davydenko,,,,,,,,,,,131.0,46.0
17,2013-frenchopen-1132,2013,frenchopen,1132,Sergiy Stakhovsky,Richard Gasquet,,,,,,,,,,,100.0,9.0
18,2013-frenchopen-1133,2013,frenchopen,1133,Tomas Berdych,Gael Monfils,,,,,,,,,,,6.0,109.0
19,2013-frenchopen-1134,2013,frenchopen,1134,Ernests Gulbis,Rogerio Dutra Silva,,,,,,,,,,,39.0,94.0
20,2013-frenchopen-1137,2013,frenchopen,1137,Andreas Seppi,Leonardo Mayer,,,,,,,,,,,22.0,62.0
21,2013-frenchopen-1138,2013,frenchopen,1138,Blaz Kavcic,James Duckworth,,,,,,,,,,,105.0,185.0
22,2013-frenchopen-1139,2013,frenchopen,1139,Martin Alund,Edouard Roger-Vasselin,,,,,,,,,,,,
23,2013-frenchopen-1140,2013,frenchopen,1140,Andreas Haider-Maurer,Nicolas Almagro,,,,,,,,,,,,
24,2013-frenchopen-1141,2013,frenchopen,1141,Milos Raonic,Xavier Malisse,,,,,,,,,,,16.0,54.0
25,2013-frenchopen-1142,2013,frenchopen,1142,Steve Darcis,Michael Llodra,,,,,,,,,,,104.0,56.0
26,2013-frenchopen-1144,2013,frenchopen,1144,Illya Marchenko,Kevin Anderson,,,,,,,,,,,120.0,25.0
